--Create user sessions
CREATE TABLE user_sessions(
                                            session_id INT PRIMARY KEY,
                                            user_id INT NOT NULL,
                                            session_date DATE,
                                            session_type_id INT NOT NULL,
                                            network_type_id INT NOT NULL,
                                            app_version VARCHAR(100),
                                            session_duration INT NOT NULL,
                                            session_error_exists INT NOT NULL,
                                            session_error_type VARCHAR(250));
INSERT INTO user_sessions (session_id, user_id, 
                                                         session_date, session_type_id, 
                                                         network_type_id, app_version, 
                                                         session_duration, 
                                                         session_error_exists,
                                                         session_error_type) VALUES
(1, 6786, '2024-6-1', 2, 5, '1.1.1-9', 4, 0, 'nan'),
(2, 10647, '2023-6-13', 8, 1, '2.2.8-12', 3, 1, 'Invalid Credentials'),
(3, 6903, '2024-7-21', 10, 5, '1.1.6-12', 5, 0, 'nan'),
(4, 10998, '2024-1-10', 9, 5, '2.1.8-7', 3, 0, 'nan'),
(5, 13455, '2024-2-13', 5, 4, '2.2.3-9', 4, 0, 'nan'),
(6, 117, '2023-3-5', 9, 2, '1.2.5-3', 5, 1, 'Invalid Credentials'),
(7, 3159, '2024-10-15', 10, 3, '2.1.9-3', 1, 1, 'Invalid Credentials'),
(8, 4095, '2024-8-18', 2, 2, '2.2.10-8', 3, 0, 'nan'),
(9, 702, '2024-3-4', 7, 5, '1.2.6-13', 2, 0, 'nan'),
(10, 234, '2024-5-13', 3, 1, '2.2.2-5', 5, 1, 'Authentication Failed'),
(11, 9945, '2024-9-23', 3, 5, '2.2.8-12', 5, 0, 'nan'),
(12, 14859, '2023-5-19', 5, 4, '2.1.6-13', 3, 1, 'App Version Outdated'),
(13, 9360, '2024-3-18', 1, 3, '2.2.1-1', 3, 1, 'Invalid Account Number'),
(14, 5148, '2024-8-3', 3, 1, '1.1.4-3', 5, 0, 'nan'),
(15, 12051, '2023-3-10', 6, 5, '1.1.1-11', 4, 1, 'Session Expired'),
(16, 12636, '2023-4-2', 5, 2, '1.1.2-4', 1, 1, 'Server Maintenance'),
(17, 1404, '2023-9-12', 6, 2, '1.2.10-6', 3, 0, 'nan'),
(18, 11466, '2024-4-19', 4, 1, '1.2.9-11', 2, 1, 'App Version Outdated'),
(19, 13221, '2023-1-2', 4, 4, '1.1.8-5', 4, 0, 'nan'),
(20, 13806, '2024-2-3', 2, 2, '1.1.8-15', 2, 1, 'Service Unavailable'),
(21, 2691, '2024-2-10', 2, 3, '1.2.9-11', 1, 1, 'Network Timeout'),
(22, 4329, '2023-2-4', 8, 5, '1.2.6-11', 2, 1, 'App Version Outdated'),
(23, 585, '2023-4-4', 3, 3, '1.2.7-11', 2, 0, 'nan'),
(24, 13572, '2023-5-13', 10, 1, '2.2.4-9', 4, 0, 'nan'),
(25, 4446, '2024-2-9', 9, 2, '1.2.1-11', 5, 1, 'Session Expired'),
(26, 3861, '2024-10-5', 8, 5, '1.1.5-12', 2, 1, 'Invalid Credentials'),
(27, 6084, '2024-10-8', 4, 4, '2.2.4-13', 5, 1, 'Invalid Credentials'),
(28, 8658, '2023-4-19', 5, 4, '2.2.7-13', 3, 0, 'nan'),
(29, 936, '2024-2-23', 8, 1, '2.1.5-3', 2, 1, 'Server Maintenance'),
(30, 2223, '2023-8-16', 10, 4, '2.1.1-15', 2, 1, 'Server Maintenance'),
(31, 14157, '2024-4-11', 5, 2, '2.2.10-5', 3, 1, 'Invalid Account Number'),
(32, 5265, '2023-6-8', 1, 5, '2.1.6-15', 2, 1, 'Session Expired'),
(33, 2223, '2024-5-8', 8, 2, '1.2.7-6', 1, 1, 'Authentication Failed'),
(34, 3744, '2023-2-22', 2, 3, '1.2.6-10', 5, 0, 'nan'),
(35, 4914, '2024-11-4', 2, 1, '2.2.3-7', 3, 0, 'nan'),
(36, 8658, '2023-5-5', 1, 2, '1.2.3-2', 2, 1, 'App Version Outdated'),
(37, 9477, '2023-11-6', 6, 5, '2.1.3-7', 2, 1, 'Invalid Account Number'),
(38, 1053, '2023-10-1', 2, 2, '1.1.9-11', 2, 0, 'nan'),
(39, 2925, '2023-5-16', 7, 3, '1.2.8-13', 2, 1, 'Server Maintenance'),
(40, 5382, '2023-9-3', 6, 4, '2.2.6-2', 1, 1, 'Authentication Failed'),
(41, 7254, '2024-11-7', 3, 5, '2.2.1-2', 5, 0, 'nan'),
(42, 13104, '2023-9-2', 9, 2, '1.1.3-6', 2, 1, 'Service Unavailable'),
(43, 1755, '2023-10-15', 8, 5, '1.1.1-6', 5, 1, 'Invalid Account Number'),
(44, 4914, '2024-1-11', 5, 5, '1.2.3-7', 5, 1, 'Invalid Credentials'),
(45, 14508, '2023-6-2', 1, 3, '1.2.3-1', 2, 0, 'nan'),
(46, 7137, '2024-1-16', 5, 4, '2.2.6-7', 3, 1, 'Server Maintenance'),
(47, 468, '2024-9-20', 9, 2, '1.2.3-15', 3, 0, 'nan'),
(48, 10530, '2023-11-10', 5, 3, '2.1.8-13', 1, 0, 'nan'),
(49, 2808, '2024-6-5', 8, 4, '1.2.8-11', 4, 0, 'nan'),
(50, 3744, '2024-7-4', 5, 3, '2.1.6-13', 5, 0, 'nan'),
(51, 9594, '2023-4-23', 4, 4, '2.1.7-6', 4, 0, 'nan'),
(52, 9360, '2023-2-23', 8, 5, '1.1.10-7', 3, 1, 'App Version Outdated'),
(53, 8541, '2024-9-18', 4, 5, '2.2.4-4', 3, 0, 'nan'),
(54, 1404, '2023-7-13', 6, 2, '1.1.8-9', 1, 1, 'Authentication Failed'),
(55, 11232, '2024-5-13', 9, 3, '1.2.4-10', 4, 1, 'Invalid Credentials'),
(56, 9126, '2024-2-3', 6, 2, '1.2.10-4', 1, 0, 'nan'),
(57, 1638, '2023-6-13', 10, 2, '2.1.9-3', 5, 0, 'nan'),
(58, 12753, '2024-10-18', 2, 4, '1.2.7-9', 2, 1, 'Network Timeout'),
(59, 14040, '2023-8-23', 7, 4, '1.2.1-14', 4, 1, 'Service Unavailable'),
(60, 5148, '2023-3-6', 6, 4, '2.2.8-7', 4, 0, 'nan'),
(61, 9594, '2023-11-20', 1, 2, '2.1.3-13', 1, 0, 'nan'),
(62, 3042, '2024-11-22', 3, 5, '2.1.8-14', 4, 1, 'Service Unavailable'),
(63, 8190, '2024-11-9', 9, 1, '1.2.2-1', 1, 1, 'Network Timeout'),
(64, 2223, '2024-10-2', 9, 1, '2.1.9-2', 1, 1, 'App Version Outdated'),
(65, 1638, '2023-4-2', 8, 2, '1.2.7-15', 3, 1, 'App Version Outdated'),
(66, 9828, '2023-7-12', 2, 3, '2.2.4-15', 5, 1, 'Invalid Account Number'),
(67, 14040, '2023-3-9', 1, 2, '1.1.1-13', 3, 0, 'nan'),
(68, 5616, '2023-8-3', 3, 5, '2.1.10-8', 5, 0, 'nan'),
(69, 8424, '2023-6-18', 3, 1, '2.2.1-10', 4, 1, 'Server Maintenance'),
(70, 819, '2024-2-15', 9, 4, '1.2.7-12', 3, 0, 'nan'),
(71, 234, '2023-11-21', 4, 1, '1.1.9-1', 1, 0, 'nan'),
(72, 2340, '2023-9-23', 1, 1, '2.1.3-7', 1, 1, 'App Version Outdated'),
