--Create Applications
CREATE TABLE Applications(
                                           application_id INT PRIMARY KEY,
                                           client_id INT NOT NULL ,
                                           application_date DATE,
                                           application_amount INT NOT NULL,
                                           application_interest_rate FLOAT NOT NULL,
                                           application_duration INT NOT NULL ,
                                           application_type_id INT NOT NULL ,
                                           application_status_id INT NOT NULL,
                                           application_object_id INT NOT NULL);
INSERT INTO Applications (application_id, 
                                                        client_id, 
                                                        application_date, 
                                                        application_amount, 
                                                        application_interest_rate, 
                                                        application_duration, 
                                                        application_type_id ,
                                                        application_status_id ,
                                                        application_object_id) VALUES 
(1, 4853, '2020-12-7', 60000, 0.11, 60, 3, 2, 10 ),
(2, 3772, '2021-11-19', 19000, 0.12, 120, 5, 2, 3 ),
(3, 585, '2022-9-17', 72000, 0.1, 12, 3, 7, 14 ),
(4, 1258, '2020-11-10', 19000, 0.15, 48, 5, 9, 20 ),
(5, 1171, '2020-12-11', 42000, 0.15, 30, 3, 6, 4 ),
(6, 23, '2024-5-10', 37000, 0.12, 72, 5, 5, 11 ),
(7, 4582, '2022-7-19', 16000, 0.14, 72, 5, 10, 9 ),
(8, 1519, '2022-11-4', 2500, 0.36, 0, 4, 3, 9 ),
(9, 2723, '2022-1-1', 1000, 0.22, 0, 4, 6, 3 ),
(10, 2400, '2023-7-5', 2000, 0.16, 12, 2, 2, 11 ),
(11, 3777, '2020-4-7', 1000, 0.25, 12, 2, 1, 7 ),
(12, 2623, '2023-6-21', 1000, 0.26, 0, 4, 2, 8 ),
(13, 4932, '2023-8-5', 4000, 0.15, 36, 2, 5, 23 ),
(14, 1292, '2022-12-22', 78000, 0.13, 18, 3, 8, 17 ),
(15, 4610, '2020-12-20', 60000, 0.15, 6, 3, 8, 23 ),
(16, 2951, '2021-3-9', 2500, 0.2, 12, 2, 6, 5 ),
(17, 871, '2022-9-22', 500, 0.29, 24, 2, 10, 1 ),
(18, 3548, '2024-3-8', 82000, 0.13, 72, 3, 2, 15 ),
(19, 1341, '2023-4-4', 8000, 0.21, 12, 1, 7, 14 ),
(20, 835, '2022-4-12', 1000, 0.22, 48, 1, 2, 9 ),
(21, 2463, '2020-1-4', 1500, 0.2, 0, 4, 9, 5 ),
(22, 2604, '2020-11-5', 17000, 0.14, 60, 5, 9, 20 ),
(23, 4190, '2021-11-7', 5000, 0.2, 36, 1, 8, 27 ),
(24, 86, '2022-12-5', 15000, 0.16, 120, 5, 5, 17 ),
(25, 3041, '2020-12-17', 1000, 0.2, 30, 1, 3, 1 ),
(26, 1780, '2022-3-4', 2500, 0.28, 0, 4, 8, 2 ),
(27, 1820, '2021-7-9', 8000, 0.15, 18, 1, 8, 22 ),
(28, 958, '2024-2-17', 3500, 0.2, 36, 2, 6, 12 ),
(29, 4528, '2024-5-16', 4500, 0.21, 6, 2, 6, 11 ),
(30, 4162, '2021-3-14', 28000, 0.14, 60, 5, 5, 14 ),
(31, 788, '2022-5-18', 40000, 0.12, 48, 5, 8, 1 ),
(32, 3141, '2022-12-10', 42000, 0.19, 48, 5, 4, 4 ),
(33, 1138, '2024-3-3', 44000, 0.11, 60, 5, 5, 19 ),
(34, 3022, '2020-6-15', 3000, 0.26, 12, 2, 8, 18 ),
(35, 1868, '2021-6-6', 2500, 0.33, 0, 4, 9, 27 ),
(36, 2, '2020-9-14', 71000, 0.14, 48, 3, 7, 17 ),
(37, 3700, '2021-1-10', 500, 0.32, 0, 4, 10, 16 ),
(38, 4616, '2020-3-1', 2000, 0.27, 0, 4, 6, 14 ),
(39, 2257, '2022-7-6', 73000, 0.11, 30, 3, 4, 19 ),
(40, 4411, '2023-10-2', 31000, 0.1, 120, 5, 1, 6 ),
